member_no,amount
1035,1000
100397,100
99981,200
1115,1000
855,500
100261,100
100261,Invalid Number
1088,100
100324,200
99975,150
100612,200
886,500
100095,100
100661,1000
100661,50
100334,300
100576,300
100505,100
100338,100
100354,200
100621,100
100204,300
100135,200
100630,500
100675,200
100611,100
100543,200
100845,1000
100466,1000
100848,100
100309,1100
100442,200
100828,200
100819,100
100186,100
100389,100
100257,200
100293,200
100833,500
99968,100
100434,50
100091,200
100260,100
100400,100
100843,100
100438,100
100432,500
100328,200
100485,200
100049,100
100220,200
100386,200
100500,500
100500,2000
100676,100
100534,250
907,1500
100160,100
99974,300
1036,1000
100387,100
871,500
100154,200
100272,200
100272,Invalid Number
100649,500
844,1000
100483,200
100554,100
99983,200
100278,200
100826,500
100545,100
100381,200
943,1000
100128,100
100456,200
837,1000
99998,100
100202,500
1082,400
1054,1000
100000,100
100689,1200
100256,200
100256,Invalid Number
100223,200
99978,150
100357,100
100697,100
100699,100
100363,100
100521,200
1081,1000
100197,100
100250,100
100250,Invalid Number
100394,150
100023,100
100370,100
100605,200
100546,150
988,1000
100364,1000
100614,200
1047,100
100673,150
896,1100
100494,200
100212,200
100818,500
100818,200
100294,100
100292,200
100840,100
100056,100
100454,200
100410,50
921,1000
100234,300
100575,100
100679,500
100225,200
100455,500
100431,1000
99971,100
100489,150
100093,50
100210,100
100593,1000
935,6500
1051,1000
100670,200
901,300
100502,2000
930,6000
100027,100
868,3000
100214,100
931,2000
100094,200
100404,200
100219,100
99969,100
100203,300
100147,100
100606,300
100254,200
100254,Invalid Number
100525,100
99996,100
100567,500
100142,50
100542,200
100608,300
100610,200
100507,1000
100609,200
100685,100
100519,200
99965,150
100249,100
100249,Invalid Number
100200,200
100660,1000
99989,100
100411,500
100299,50
100206,50
100377,300
100813,100
100849,200
100834,200
100295,100
100403,100
100415,200
100238,700
950,1450
986,1000
851,600
99993,200
100419,200
100193,100
876,3000
100384,500
100322,1500
100550,500
100413,100
100155,300
100243,200
100616,Invalid Number
1022,1000
100312,1300
100510,300
100552,200
100435,100
100450,100
99977,200
100578,300
100664,2000
100286,100
100286,Invalid Number
100684,1000
100247,200
100501,200
917,1700
100046,200
100417,100
100099,50
1137,1000
100368,100
100409,100
100308,100
100231,2000
99956,100
99961,200
100841,100
100837,200
100815,700
100473,100
937,1500
100029,100
100158,300
100209,50
1009,500
100150,300
100198,100
100052,100
100301,500
100395,100
99980,200
100522,100
100149,400
100596,2000
100495,100
100274,500
100274,Invalid Number
99985,200
100221,200
985,3400
100253,1000
100253,Invalid Number
100573,150
100678,200
100317,200
100226,200
100607,200
100089,150
100178,300
100246,150
100246,Invalid Number
1144,1000
100255,Invalid Number
100511,100
100562,100
100361,100
99992,100
100011,200
100318,200
100704,300
100016,500
100336,500
99958,200
100273,200
100273,Invalid Number
100084,500
100548,200
100327,100
100696,200
100358,100
100205,1000
100600,500
100320,500
100105,200
1067,500
100262,300
100262,Invalid Number
100242,100
833,1500
100648,100
1049,1000
932,3000
100355,200
100017,3000
100847,1000
100179,200
100297,500
99991,200
100391,300
100343,100
100846,100
100277,300
100215,100
100217,500
100825,100
100140,1000
100288,100
100418,200
100811,100
100393,100
100471,200
100547,200
100422,100
100854,600
100059,100
100823,500
100285,200
100344,100
100706,1000
100366,100
1017,1000
878,1500
1006,1100
100195,300
953,500
845,2000
100564,450
783,5150
100088,200
909,7000
100487,500
100566,150
100151,200
100349,200
1053,500
100228,200
100597,200
100484,1000
100352,200
99995,100
100305,50
100558,200
100390,200
100508,200
100524,300
100583,100
100175,500
100270,100
100077,50
100270,Invalid Number
100602,500
100587,300
100812,100
99973,100
100373,100
100192,100
100832,200
100038,200
100817,100
100829,200
100138,1000
100686,500
100504,400
100134,200
100167,200
875,2000
100090,100
100001,100
100406,200
100252,200
100252,Invalid Number
99966,300
99994,50
100615,300
100476,100
100353,100
100613,200
994,2000
100598,300
100022,200
100236,200
100360,200
100086,700
100627,500
99964,200
897,500
100512,1350
798,1000
1138,400
100520,100
100671,1000
100619,100
996,1000
100265,100
100265,Invalid Number
100707,100
100143,100
100478,300
100144,200
100650,200
827,2000
100082,200
100691,200
100468,100
100669,100
100267,100
100267,Invalid Number
100069,500
100146,500
100365,1000
100003,200
859,200
100271,50
100271,Invalid Number
100232,350
100104,4000
100538,200
100100,500
100372,100
100211,100
100437,200
100332,100
100443,100
100340,50
100430,200
100207,200
100300,100
100433,100
100321,100
100068,200
99997,200
100057,100
100371,200
1,100
100426,100
100054,50
100557,500
100281,26000
100467,100
100408,100
100822,300
100201,200
100291,500
100820,1000
100280,1000
100553,200
99972,200
1133,200
100480,50
99984,300
100014,200
100657,100
100560,100
100527,0
826,1000
100314,500
100398,100
100398,200
100429,500
100302,100
100335,200
100559,200
100514,5000
100569,300
972,500
100515,500
100013,100
942,5500
100078,200
99986,500
100486,200
100199,400
100316,500
100165,200
100307,100
100333,200
100595,500
788,2000
800,1000
100388,200
100652,100
100266,300
100266,Invalid Number
100008,200
100529,200
100407,1000
100453,500
100080,1000
100414,200
100836,200
100436,100
100287,250
100582,200
100170,1000
100113,12000
100821,200
100258,200
1048,1000
100342,200
895,2500
838,500
100421,1000
100498,200
1026,400
100004,100
951,1000
100096,150
840,3000
100622,500
966,600
100018,100
100244,1000
100244,Invalid Number
100284,200
100346,1000
100396,500
100276,200
100440,200
100296,200
100379,100
100537,500
100159,500
100275,1000
100275,Invalid Number
100006,500
867,300
100230,100
99962,100
100492,500
100380,500
947,1000
100007,50
912,11000
100592,1000
969,5000
100692,200
100693,200
100692,100
890,500
839,1000
1066,2000
100665,100
100574,100
100585,300
100264,250
100264,Invalid Number
100695,300
100098,500
100405,500
100374,100
100844,100
99988,100
100066,100
100835,300
100814,200
100452,1000
100428,50
100268,100
100126,200
100423,100
100337,100
1020,1000
100658,2000
100345,100
100488,400
100488,400
100533,200
100401,100
100269,200
100269,Invalid Number
100304,200
100580,1000
100367,200
100237,200
100241,200
100163,3000
100644,300
100127,100
100306,100
100290,100
100263,200
100555,200
100683,100
99982,100
100240,100
100289,500
100289,Invalid Number
1003,1000
100503,600
100157,100
100383,100
99979,200
100194,200
100420,1000
100590,1000
100572,100
100701,200
99955,100
100216,50
100424,500
100412,1000
100475,100
99957,1000
100222,200
